,ID,Mach No,Angle of Attack,Lift Coefficient,Drag Coefficient,Airfoil_type
225,DP 9,0.88,6,0.59129844,0.15549119,c5a
226,DP 10,0.9,6,0.55027188,0.1700701,c5a
227,DP 11,0.92,6,0.55645165,0.18649531,c5a
228,DP 12,0.94,6,0.53180369,0.19010615,c5a
229,DP 13,0.96,6,0.5131048,0.18668206,c5a
230,DP 14,0.98,6,0.49829935,0.18341044,c5a
231,DP 15,1,6,0.48596034,0.18041787,c5a
232,DP 16,1.02,6,0.47541489,0.17770807,c5a
233,DP 17,1.04,6,0.46609446,0.17520044,c5a
234,DP 18,1.06,6,0.45771106,0.17286317,c5a
235,DP 19,1.08,6,0.4502637,0.17071907,c5a
236,DP 20,1.1,6,0.44369911,0.16880461,c5a
237,DP 21,1.12,6,0.43801581,0.16715416,c5a
238,DP 22,1.14,6,0.43306066,0.16566065,c5a
239,DP 23,1.16,6,0.42832921,0.16416853,c5a
240,DP 24,1.18,6,0.42345333,0.16277923,c5a
241,DP 25,1.2,6,0.41849445,0.16147704,c5a
242,DP 26,1.22,6,0.41400122,0.16008138,c5a
243,DP 27,1.24,6,0.41081268,0.158604,c5a
244,DP 28,1.26,6,0.40911474,0.15727314,c5a
245,DP 29,1.28,6,0.40779683,0.15639705,c5a
246,DP 30,1.3,6,0.40213288,0.15553266,c5a
247,DP 31,1.32,6,0.39098711,0.154296,c5a
248,DP 32,1.34,6,0.37807112,0.15305637,c5a
249,DP 33,1.36,6,0.36715831,0.15192149,c5a
250,DP 34,1.38,6,0.35830245,0.15082755,c5a
251,DP 35,1.4,6,0.35089573,0.14974647,c5a
252,DP 0,0.7,16,0.72631947,0.2496264,c5a
253,DP 1,0.72,16,0.73362446,0.25334458,c5a
254,DP 2,0.74,16,0.74295043,0.25737255,c5a
255,DP 3,0.76,16,0.75402112,0.26182227,c5a
256,DP 4,0.78,16,0.76795711,0.26686345,c5a
257,DP 5,0.8,16,0.78591754,0.27268182,c5a
258,DP 6,0.82,16,0.81012257,0.27973695,c5a
259,DP 7,0.84,16,0.84854832,0.28963396,c5a
260,DP 8,0.86,16,0.92356466,0.30961632,c5a
261,DP 9,0.88,16,1.0224247,0.34262294,c5a
262,DP 10,0.9,16,1.1854151,0.40685707,c5a
263,DP 11,0.92,16,1.3328,0.47939444,c5a
264,DP 12,0.94,16,1.3042243,0.47766074,c5a
265,DP 13,0.96,16,1.2614076,0.46559146,c5a
266,DP 14,0.98,16,1.2263199,0.45481802,c5a
267,DP 15,1,16,,,c5a
268,DP 16,1.02,16,1.1689233,0.43675927,c5a
269,DP 17,1.04,16,1.1445271,0.42902152,c5a
270,DP 18,1.06,16,1.12264,0.42195066,c5a
271,DP 19,1.08,16,1.1029954,0.41546792,c5a
272,DP 20,1.1,16,1.085492,0.40953821,c5a
273,DP 21,1.12,16,1.0699008,0.4041303,c5a
274,DP 22,1.14,16,,,c5a
275,DP 23,1.16,16,1.0426097,0.3947847,c5a
276,DP 24,1.18,16,,,c5a
277,DP 25,1.2,16,,,c5a
278,DP 26,1.22,16,1.0059198,0.38370873,c5a
279,DP 27,1.24,16,0.9930813,0.37970356,c5a
280,DP 28,1.26,16,,,c5a
281,DP 29,1.28,16,0.96843173,0.37210426,c5a
282,DP 30,1.3,16,0.95692242,0.36853149,c5a
283,DP 31,1.32,16,0.9470969,0.36529258,c5a
284,DP 32,1.34,16,0.93892589,0.36273284,c5a
285,DP 33,1.36,16,,,c5a
286,DP 34,1.38,16,0.92008576,0.3577579,c5a
287,DP 35,1.4,16,0.90692093,0.35420956,c5a
288,DP 0,0.7,3,0.54425624,0.038185376,c5a
289,DP 1,0.72,3,0.5616328,0.040298806,c5a
290,DP 2,0.74,3,0.5825465,0.043993535,c5a
291,DP 3,0.76,3,0.59881157,0.050546436,c5a
292,DP 4,0.78,3,0.60149446,0.059517398,c5a
293,DP 5,0.8,3,0.58289547,0.069275375,c5a
294,DP 6,0.82,3,0.53957555,0.078196908,c5a
295,DP 7,0.84,3,0.47497628,0.086985428,c5a
296,DP 8,0.86,3,0.38783517,0.097683126,c5a
297,DP 9,0.88,3,0.28834436,0.1113609,c5a
298,DP 10,0.9,3,0.25827596,0.1295158,c5a
299,DP 11,0.92,3,0.2796547,0.14765358,c5a
300,DP 12,0.94,3,0.26592144,0.15329391,c5a
301,DP 13,0.96,3,0.25659414,0.15104569,c5a
302,DP 14,0.98,3,,,c5a
303,DP 15,1,3,0.243135,0.14662642,c5a
304,DP 16,1.02,3,0.23777845,0.14464347,c5a
305,DP 17,1.04,3,0.23300295,0.14280507,c5a
306,DP 18,1.06,3,0.22868529,0.14107118,c5a
307,DP 19,1.08,3,0.22477586,0.13942836,c5a
308,DP 20,1.1,3,0.22129045,0.13788655,c5a
309,DP 21,1.12,3,0.21829005,0.13646605,c5a
310,DP 22,1.14,3,0.21569348,0.13513913,c5a
311,DP 23,1.16,3,0.21344433,0.133945,c5a
312,DP 24,1.18,3,0.21118933,0.1329091,c5a
313,DP 25,1.2,3,0.2096627,0.13189182,c5a
314,DP 26,1.22,3,0.20830909,0.13072259,c5a
315,DP 27,1.24,3,0.20755005,0.12936843,c5a
316,DP 28,1.26,3,0.2069913,0.12831214,c5a
317,DP 29,1.28,3,0.20331798,0.12775403,c5a
318,DP 30,1.3,3,0.19640825,0.12775403,c5a
